ID;IMO;Navio;Berço;start;end;Natureza;Agência;Sentido
177;9327798;MSC LOS ANGELES;BERÇO 216;30/10/2024 22:50;31/10/2024 15:15;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
178;9347566;HYUNDAI FORCE;BERÇO 216;31/10/2024 16:25;01/11/2024 07:20;Full Conteiner;HMM CO., LTD.;Exportação & Importação
179;9622239;SAN AUGUSTIN MAERSK;BERÇO 216;01/11/2024 15:27;02/11/2024 08:25;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
180;9343974;MAERSK JAIPUR;BERÇO 216;02/11/2024 08:50;02/11/2024 22:04;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
181;9612789;NC BRISA;BERÇO 216;02/11/2024 22:15;03/11/2024 08:30;Full Conteiner;NORCOAST LOGISTICA S.A.;Exportação & Importação
182;9633965;CAP SAN TAINARO;BERÇO 216;03/11/2024 13:54;04/11/2024 05:14;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
183;9243174;MIRADOR EXPRESS;BERÇO 216;04/11/2024 05:50;05/11/2024 09:15;Full Conteiner;HAPAG - LLOYD CONTAINER LINE;Exportação & Importação
184;9702261;MSC SARA ELENA;BERÇO 216;05/11/2024 10:00;06/11/2024 17:45;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
185;9793923;SEASPAN HARRIER;BERÇO 216;07/11/2024 15:53;08/11/2024 08:12;Full Conteiner;OCEAN NETWORK EXPRESS PTE. LTD;Exportação & Importação
186;9398228;MSC NOA;BERÇO 216;09/11/2024 16:25;10/11/2024 13:15;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
187;9731913;COSCO SHIPPING DANUBE;BERÇO 216;10/11/2024 16:45;11/11/2024 06:20;Full Conteiner;COSCO CHINA OCEAN SHIPPING CO;Exportação & Importação
188;9526954;MAERSK LOTA;BERÇO 216;06/11/2024 18:18;07/11/2024 12:25;Full Conteiner;AP MOLLER MAERSK S.A;Exportação & Importação
189;9622253;SAN RAPHAEL MAERSK;BERÇO 216;11/11/2024 07:16;12/11/2024 01:30;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
190;9360910;SEATTLE C;BERÇO 216;12/11/2024 18:30;13/11/2024 01:50;Full Conteiner;COSCO SHIPPING LINES CO LTD;Exportação & Importação
191;9727613;CAPE KORTIA;BERÇO 216;13/11/2024 13:25;14/11/2024 07:40;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
192;9687564;CORCOVADO;BERÇO 216;14/11/2024 15:00;15/11/2024 11:45;Full Conteiner;HAPAG - LLOYD CONTAINER LINE;Exportação & Importação
193;9793894;SALVADOR EXPRESS;BERÇO 216;15/11/2024 15:20;16/11/2024 07:50;Full Conteiner;HAPAG - LLOYD CONTAINER LINE;Exportação & Importação
194;9347619;HYUNDAI SUPREME;BERÇO 216;16/11/2024 08:20;16/11/2024 19:35;Full Conteiner;HMM CO., LTD.;Exportação & Importação
