ID;IMO;Navio;Berço;start;end;Natureza;Agência;Sentido
302;9367671;MINERVA MEDITERRANEA;PIÉR PÚBLICO INTERNO;01/11/2024 16:50;05/11/2024 20:10;Granel Líquido;OBTAINER SHIPMANAGEMENT CORP.;Importação
303;9711494;OTHONI;PIÉR PÚBLICO INTERNO;05/11/2024 20:40;06/11/2024 21:15;Granel Líquido;OCM MARITIME LENA LCC;Importação
304;9956410;BOCHEM CASABLANCA;PIÉR PÚBLICO INTERNO;06/11/2024 21:40;08/11/2024 01:30;Granel Líquido;STOLT NIELSEN TRANSPORTATION GROUP B.V.;Importação
305;9850202;TAKAROA SUN;PIÉR PÚBLICO INTERNO;08/11/2024 09:35;12/11/2024 02:10;Granel Líquido;WATERFRONT SHIPPING;Importação
306;9542178;ASP LILY;PIÉR PÚBLICO INTERNO;18/11/2024 13:20;21/11/2024 09:55;Granel Líquido;WOMAR UK LTD;Exportação
307;9555307;SALSA;PIÉR PÚBLICO INTERNO;21/11/2024 18:15;22/11/2024 18:50;Granel Líquido;SALSA MARINE S.A.;Importação
308;9363780;TWINKLE STAR;PIÉR PÚBLICO INTERNO;22/11/2024 23:15;25/11/2024 13:00;Granel Líquido;PRODUCT SHIPPING AND TRADING S.A.;Importação
309;9313436;PEONIA;PIÉR PÚBLICO INTERNO;26/11/2024 01:00;27/11/2024 01:10;Granel Líquido;POSIDONIA SHIPPING & TRADING LTDA;Importação
310;9829409;ARCTOS;PIÉR PÚBLICO INTERNO;27/11/2024 18:00;28/11/2024 16:50;Granel Líquido;LIBERO PANAMA S.A;Importação
311;9836452;CLYDE;PIÉR PÚBLICO INTERNO;29/11/2024 19:25;30/11/2024 19:20;Granel Líquido;MANSEL LTD;Exportação
312;9407392;HORIZON THEANO;PIÉR PÚBLICO INTERNO;30/11/2024 20:00;02/12/2024 04:30;Granel Líquido;HANDYTANKERS K/S;Importação
313;9266762;JAG;CATTALINI EXTERNO;10/10/2024 01:50;14/10/2024 22:45;Granel Líquido;ROYALIST MANAGEMENT INC;Importação
314;9396749;CASSIOPEIA II;CATTALINI EXTERNO;15/10/2024 01:18;17/10/2024 08:55;Granel Líquido;SEA TRADE MARINE SA;Importação
315;9975301;FAIRCHEM PATHFINDER;CATTALINI EXTERNO;17/10/2024 10:50;18/10/2024 10:10;Granel Líquido;FAIRFIELD CHEMICAL CARRIERS;Exportação & Importação
316;9814167;NORD JEWEL;CATTALINI EXTERNO;18/10/2024 13:10;19/10/2024 15:25;Granel Líquido;NORIENT PRODUCT POOL;Importação
317;9252448;BOURDA;CATTALINI EXTERNO;23/10/2024 12:15;25/10/2024 02:55;Granel Líquido;IMS S/A;Exportação
318;9314167;AGNES;CATTALINI EXTERNO;25/10/2024 03:50;31/10/2024 18:50;Granel Líquido;WESTANKER LDT;Importação
319;9854806;TORM STELLAR;CATTALINI EXTERNO;31/10/2024 21:45;03/11/2024 13:15;Granel Líquido;BUNGE S/A;Importação
320;9989194;BOW LYNX;CATTALINI EXTERNO;03/11/2024 15:45;04/11/2024 12:45;Granel Líquido;Odfjell Tankers A/S;Importação
321;9288760;SUNNY VICTORY;CATTALINI EXTERNO;04/11/2024 23:10;06/11/2024 14:00;Granel Líquido;SV MRS LLC;Exportação
322;9732802;TRF MOBILE;CATTALINI EXTERNO;06/11/2024 14:37;09/11/2024 23:40;Granel Líquido;WLR/TRF HMN8 HOLDINGS IV LLC;Importação
323;9777400;BOW TUNGSTEN;CATTALINI EXTERNO;10/11/2024 01:35;10/11/2024 18:50;Granel Líquido;Odfjell Tankers A/S;Importação
324;9798351;ELDIA;CATTALINI EXTERNO;11/11/2024 15:35;17/11/2024 06:15;Granel Líquido;EASTERN MEDITERRANEAN MARITIME LTD;Importação
325;9276688;MARITIME TUNTIGA;CATTALINI EXTERNO;17/11/2024 09:50;20/11/2024 13:25;Granel Líquido;AURORA TANKERS;Importação
326;9657806;PS HAMBURG;CATTALINI EXTERNO;20/11/2024 16:00;23/11/2024 01:10;Granel Líquido;COLUMBIA SHIPMANAGEMENT;Exportação
327;9276688;MARITIME TUNTIGA;CATTALINI EXTERNO;23/11/2024 02:35;25/11/2024 03:00;Granel Líquido;AURORA TANKERS;Importação
328;9690614;HAFNIA VIRIDIAN;CATTALINI EXTERNO;25/11/2024 05:25;25/11/2024 21:00;Granel Líquido;HAFNIA CHEM SHIPHOLDING PTE;Exportação
329;9827059;NORD VALOROUS;CATTALINI EXTERNO;25/11/2024 23:03;27/11/2024 06:37;Granel Líquido;MAGNUS LINE INC;Exportação
330;9568495;SAKURA ADVANCE;CATTALINI EXTERNO;29/11/2024 08:00;01/12/2024 11:30;Granel Líquido;COURAGEOUS & KSK (PANAMA ) S. A.;Importação
331;9725823;CAIFU CHAO;CATTALINI INTERNO;10/10/2024 02:25;11/10/2024 14:00;Granel Líquido;ULTRATANK;Importação
332;9298387;DELONIX;CATTALINI INTERNO;13/10/2024 07:40;16/10/2024 09:20;Granel Líquido;MERMAN MARITIME CO;Importação
333;9725859;BOCHEM WALVIS BAY;CATTALINI INTERNO;16/10/2024 10:11;17/10/2024 02:30;Granel Líquido;GREATHORSE CHEMIICAL CHARTERING (HK) LTD;Exportação
334;9834155;CASTARA;CATTALINI INTERNO;18/10/2024 15:00;20/10/2024 15:25;Granel Líquido;BLUE WAKE SHIPPING PTE., LTD.;Importação
335;9568495;SAKURA ADVANCE;CATTALINI INTERNO;22/10/2024 12:15;24/10/2024 01:40;Granel Líquido;COURAGEOUS & KSK (PANAMA ) S. A.;Importação
336;9371775;HUEMUL;CATTALINI INTERNO;24/10/2024 03:12;26/10/2024 09:18;Granel Líquido;GEM SHIPPING;Importação
337;9805910;FAIRCHEM FORTITUDE;CATTALINI INTERNO;26/10/2024 12:20;28/10/2024 08:46;Granel Líquido;FAIRFIELD CHEMICAL CARRIERS;Importação
338;9725823;CAIFU CHAO;CATTALINI INTERNO;28/10/2024 09:43;30/10/2024 13:52;Granel Líquido;ULTRATANK;Importação
339;9829758;GINGA COPPER;CATTALINI INTERNO;31/10/2024 08:45;01/11/2024 15:05;Granel Líquido;FAIRFIELD CHEMICAL CARRIERS;Importação
340;9804813;FAIRCHEM HAWK;CATTALINI INTERNO;01/11/2024 16:00;03/11/2024 22:20;Granel Líquido;FAIRFIELD CHEMICAL CARRIERS INC;Importação
341;9396737;SKYLIGHT;CATTALINI INTERNO;04/11/2024 17:35;10/11/2024 06:50;Granel Líquido;FALCON MARITIME A/S;Importação
342;9952165;BOW LEOPARD;CATTALINI INTERNO;10/11/2024 14:50;11/11/2024 21:30;Granel Líquido;Odfjell Tankers A/S;Importação
343;9866782;BOW PERSISTENT;CATTALINI INTERNO;12/11/2024 00:55;13/11/2024 07:55;Granel Líquido;Odfjell Tankers A/S;Exportação
344;9542178;ASP LILY;CATTALINI INTERNO;13/11/2024 09:05;15/11/2024 08:55;Granel Líquido;WOMAR UK LTD;Importação
345;9477531;SHAMROCK MERCURY;CATTALINI INTERNO;16/11/2024 09:40;17/11/2024 11:10;Granel Líquido;MERCURY TRANSPORTE S.A;Importação
346;9724013;MANCHAC SUN;CATTALINI INTERNO;19/11/2024 13:30;21/11/2024 07:25;Granel Líquido;WATERFRONT SHIPPING;Importação
347;9834155;CASTARA;CATTALINI INTERNO;23/11/2024 03:00;26/11/2024 18:40;Granel Líquido;BLUE WAKE SHIPPING PTE., LTD.;Importação
348;9724013;MANCHAC SUN;CATTALINI INTERNO;26/11/2024 20:00;01/12/2024 08:55;Granel Líquido;WATERFRONT SHIPPING;Importação
